,close,open,high,low,Volume BTC,NewDateTime,NewDate,returns,log_returns,Year,Week,SOPR
0,7177.02,7195.23,7196.25,7175.46,480.93,2020-01-01 00:00:00,2020/1/1,0.9974691566496138,-0.002534051348188011,2020,1,0.9978010065284609
1,7216.27,7177.02,7230.0,7175.71,836.51,2020-01-01 01:00:00,2020/1/1,1.0054688436147594,0.0054539437880477045,2020,1,0.9978010065284609
2,7242.85,7216.27,7244.87,7211.41,626.6,2020-01-01 02:00:00,2020/1/1,1.003683343333883,0.003676576436273115,2020,1,0.9978010065284609
3,7225.01,7242.85,7245.0,7220.0,748.76,2020-01-01 03:00:00,2020/1/1,0.9975368812000801,-0.002466157267460975,2020,1,0.9978010065284609
4,7217.27,7225.01,7230.0,7215.03,442.09,2020-01-01 04:00:00,2020/1/1,0.9989287212059222,-0.0010718530233481366,2020,1,0.9978010065284609
5,7224.21,7217.27,7229.76,7216.65,331.48,2020-01-01 05:00:00,2020/1/1,1.000961582426596,0.0009611204023736772,2020,1,0.9978010065284609
6,7225.62,7224.21,7236.27,7221.51,592.82,2020-01-01 06:00:00,2020/1/1,1.000195177050501,0.0001951580059385737,2020,1,0.9978010065284609
7,7209.83,7225.62,7232.94,7199.11,600.11,2020-01-01 07:00:00,2020/1/1,0.997814720397696,-0.002187670810047564,2020,1,0.9978010065284609
8,7200.64,7209.83,7210.0,7180.0,870.9,2020-01-01 08:00:00,2020/1/1,0.998725351360573,-0.0012754616949841534,2020,1,0.9978010065284609
9,7188.77,7200.64,7210.51,7188.0,597.7,2020-01-01 09:00:00,2020/1/1,0.9983515354190738,-0.0016498247937107029,2020,1,0.9978010065284609
10,7202.0,7188.77,7210.0,7185.2,519.14,2020-01-01 10:00:00,2020/1/1,1.001840370466714,0.0018386790598788332,2020,1,0.9978010065284609
11,7197.2,7202.0,7237.73,7188.61,1003.74,2020-01-01 11:00:00,2020/1/1,0.9993335184670924,-0.0006667037304569844,2020,1,0.9978010065284609
12,7225.59,7197.2,7233.33,7196.15,818.73,2020-01-01 12:00:00,2020/1/1,1.0039445895626078,0.003936830067853603,2020,1,0.9978010065284609
13,7221.2,7225.59,7231.89,7212.88,571.45,2020-01-01 13:00:00,2020/1/1,0.9993924371573809,-0.000607747483714124,2020,1,0.9978010065284609
14,7221.43,7221.2,7234.97,7208.17,577.26,2020-01-01 14:00:00,2020/1/1,1.00003185066194,3.1850154718328916e-05,2020,1,0.9978010065284609
15,7234.19,7221.43,7255.0,7218.29,1256.49,2020-01-01 15:00:00,2020/1/1,1.001766963053024,0.0017654038102878887,2020,1,0.9978010065284609
16,7245.37,7234.19,7246.42,7214.0,835.92,2020-01-01 16:00:00,2020/1/1,1.0015454390885503,0.0015442461265040629,2020,1,0.9978010065284609
17,7236.83,7245.37,7249.99,7224.92,1022.23,2020-01-01 17:00:00,2020/1/1,0.9988213162336775,-0.0011793789603626037,2020,1,0.9978010065284609
18,7240.67,7236.83,7246.72,7225.17,574.05,2020-01-01 18:00:00,2020/1/1,1.0005306190693992,0.0005304783408807698,2020,1,0.9978010065284609
19,7229.48,7240.67,7241.0,7225.49,402.18,2020-01-01 19:00:00,2020/1/1,0.9984545629064713,-0.001546632513223124,2020,1,0.9978010065284609
20,7236.73,7229.48,7242.98,7224.68,378.62,2020-01-01 20:00:00,2020/1/1,1.0010028383784173,0.001002335871937818,2020,1,0.9978010065284609
21,7233.17,7236.73,7242.75,7227.0,274.92,2020-01-01 21:00:00,2020/1/1,0.999508065106754,-0.0004920559329129301,2020,1,0.9978010065284609
22,7197.99,7233.17,7234.49,7186.0,726.36,2020-01-01 22:00:00,2020/1/1,0.995136295704373,-0.00487557059712096,2020,1,0.9978010065284609
23,7200.85,7197.99,7204.17,7175.15,774.75,2020-01-01 23:00:00,2020/1/1,1.0003973331443918,0.0003972542284812613,2020,1,0.9978010065284609
24,7211.02,7200.85,7212.5,7185.46,373.98,2020-01-02 00:00:00,2020/1/2,1.0014123332662117,0.0014113368616441603,2020,1,0.9968015412451849
25,7190.99,7211.02,7211.16,7185.11,372.76,2020-01-02 01:00:00,2020/1/2,0.9972223069690556,-0.0027815579789834824,2020,1,0.9968015412451849
26,7169.02,7190.99,7191.0,7155.35,1265.12,2020-01-02 02:00:00,2020/1/2,0.9969447878525767,-0.003059888836002544,2020,1,0.9968015412451849
27,7129.61,7169.02,7169.06,7120.37,1409.21,2020-01-02 03:00:00,2020/1/2,0.9945027353808469,-0.00551243018324838,2020,1,0.9968015412451849
28,7142.21,7129.61,7161.0,7116.7,1182.93,2020-01-02 04:00:00,2020/1/2,1.001767277593024,0.0017657177954383942,2020,1,0.9968015412451849
29,7138.93,7142.21,7152.05,7126.93,536.5,2020-01-02 05:00:00,2020/1/2,0.9995407583927104,-0.00045934709101278556,2020,1,0.9968015412451849
30,7135.97,7138.93,7149.02,7121.43,639.65,2020-01-02 06:00:00,2020/1/2,0.9995853720375463,-0.0004147139443951857,2020,1,0.9968015412451849
31,7110.57,7135.97,7140.63,7105.0,1434.99,2020-01-02 07:00:00,2020/1/2,0.9964405679956614,-0.0035657818548206583,2020,1,0.9968015412451849
32,7154.36,7110.57,7157.48,7109.11,1034.09,2020-01-02 08:00:00,2020/1/2,1.0061584373685935,0.006139551691027996,2020,1,0.9968015412451849
33,7162.01,7154.36,7165.0,7135.36,785.64,2020-01-02 09:00:00,2020/1/2,1.001069278034653,0.0010687067640904793,2020,1,0.9968015412451849
34,7161.83,7162.01,7180.0,7153.33,1312.2,2020-01-02 10:00:00,2020/1/2,0.9999748673905788,-2.5132925250483377e-05,2020,1,0.9968015412451849
35,7139.79,7161.83,7168.67,7139.03,710.2,2020-01-02 11:00:00,2020/1/2,0.9969225742582553,-0.0030821707537915196,2020,1,0.9968015412451849
36,7158.29,7139.79,7163.4,7139.03,757.44,2020-01-02 12:00:00,2020/1/2,1.0025911126237605,0.00258776147899349,2020,1,0.9968015412451849
37,7131.15,7158.29,7163.35,7107.43,1410.3,2020-01-02 13:00:00,2020/1/2,0.9962085917167368,-0.003798613890346693,2020,1,0.9968015412451849
38,7135.59,7131.15,7157.1,7122.34,875.91,2020-01-02 14:00:00,2020/1/2,1.0006226204749584,0.0006224267272471954,2020,1,0.9968015412451849
39,7130.98,7135.59,7152.0,7120.0,810.47,2020-01-02 15:00:00,2020/1/2,0.9993539427013042,-0.0006462660836419579,2020,1,0.9968015412451849
40,7052.32,7130.98,7146.85,7020.0,2996.22,2020-01-02 16:00:00,2020/1/2,0.9889692580823394,-0.01109203168243702,2020,1,0.9968015412451849
41,6970.04,7052.32,7053.09,6924.74,5244.63,2020-01-02 17:00:00,2020/1/2,0.9883329173945595,-0.011735677067184485,2020,1,0.9968015412451849
42,6974.02,6970.04,6989.68,6949.96,1392.82,2020-01-02 18:00:00,2020/1/2,1.0005710153743739,0.0005708524071299044,2020,1,0.9968015412451849
43,6983.27,6974.02,6995.0,6960.0,1286.09,2020-01-02 19:00:00,2020/1/2,1.0013263512292767,0.001325472402487841,2020,1,0.9968015412451849
